subject,task_short_desc,ritm_short_desc,description,related_env,target_team,task_id,parent_id
"Catalog Task TASK1624539 has been assigned to group iNET Cloud  Support Team",Firewall Request : AWS Hub,[ด่วน รอบวันที่ 26/02/26] ขอ Allow firewall SCGP SAP VCPC with SCGVNconnect wifi,[ด่วน รอบวันที่ 26/02/26] ขอ Allow firewall SCGP SAP VCPC with SCGVNconnect wifi,● VPN User ● AWS Hub ● On-prem ● iNET On-prem ● SCGP Firewall,AWS Team,TASK1624539,RITM0839587
"Catalog Task TASK1624527 has been assigned to group iNET Cloud  Support Team",ขอ Update Certificate waf web vmi-vendecor.com,ขอ Update Certificate waf web vmi-vendecor.com,ขอ Update Certificate waf web vmi-vendecor.com,N/A,GCP & AWS Team (Both),TASK1624527,RITM0839755
"Catalog Task TASK1624393 has been assigned to group iNET Cloud  Support Team",Firewall Request : AWS Hub,[ด่วน] ขอ allow firewall ระหว่าง N8N กับ Stiebel,[ด่วน] ขอ allow firewall ระหว่าง N8N กับ Stiebel,● IT One Services ● AWS Hub ● SCGJWD Cloud   Ref. RITM0800223 State:  Assigned Click  here  to view the item Catalog Task Details: Task Number:  TASK1624393 State:  Assigned Assignment Group:  iNET Cloud Support Team Service Provider:  iNET Short Description:  Firewall Request : AWS Hub Click  here  to view the task           Ref:MSG77251126,AWS Team,TASK1624393,RITM0839218
"Catalog Task TASK1624205 has been assigned to group iNET Cloud  Support Team",[SCG-AWS] Task Cleansing Transit Gateway : RAM service (Trust Advisor 2026),[SCG-AWS] Task Cleansing Transit Gateway : RAM service (Trust Advisor 2026),[SCG-AWS] Task Cleansing Transit Gateway : RAM service (Trust Advisor 2026),N/A,AWS Team,TASK1624205,RITM0839497
"Catalog Task TASK1623884 has been assigned to group iNET Cloud  Support Team",Update CI in CMDB,[AWS]ขอลบ S3 ของ Account AWS-SCGJWD-CLOUD,[AWS]ขอลบ S3 ของ Account AWS-SCGJWD-CLOUD,N/A,AWS Team,TASK1623884,RITM0837647
"Catalog Task TASK1621364 has been assigned to group iNET Cloud  Support Team",[AWS]ขอลบ S3 ของ Account AWS-SCGJWD-CLOUD,[AWS]ขอลบ S3 ของ Account AWS-SCGJWD-CLOUD,[AWS]ขอลบ S3 ของ Account AWS-SCGJWD-CLOUD,N/A,AWS Team,TASK1621364,RITM0837647
"Catalog Task TASK1623791 has been assigned to group iNET Cloud  Support Team",[GCP] ขอเพิ่ม accounts เข้า google workspace เพื่อใช้งานฟังก์ชัน login ด้วย IAP ของ Google,[GCP] ขอเพิ่ม accounts เข้า google workspace เพื่อใช้งานฟังก์ชัน login ด้วย IAP ของ Google,[GCP] ขอเพิ่ม accounts เข้า google workspace เพื่อใช้งานฟังก์ชัน login ด้วย IAP ของ Google,N/A,GCP Team,TASK1623791,RITM0839316
"Catalog Task TASK1623563 has been assigned to group iNET Cloud  Support Team",Firewall Request : AWS Hub,ขอ Allow Firewall swpwd.scg.com  10.41.24.197 อยู่บน AWS Private Cloud,ขอ Allow Firewall swpwd.scg.com  10.41.24.197 อยู่บน AWS Private Cloud,● IT One Services ● On-prem ● AWS HUB State:  Assigned Click  here  to view the item Catalog Task Details: Task Number:  TASK1623563 State:  Assigned Assignment Group:  iNET Cloud Support Team Service Provider:  iNET Short Description:  Firewall Request : AWS Hub Click  here  to view the task           Ref:MSG77201691,AWS Team,TASK1623563,RITM0839117
"Catalog Task TASK1623228 has been assigned to group iNET Cloud  Support Team",[AWS][Inet] ขอสอบถาม IT ในการรันเว็บแอพใน Server,[AWS][Inet] ขอสอบถาม IT ในการรันเว็บแอพใน Server,[AWS][Inet] ขอสอบถาม IT ในการรันเว็บแอพใน Server,N/A,AWS Team,TASK1623228,RITM0839061
"Catalog Task TASK1626120 has been assigned to group iNET Cloud  Support Team",[GCP] ขอเพิ่ม accounts เข้า google workspace เพื่อใช้งานฟังก์ชัน login ด้วย IAP ของ Google,[GCP] ขอเพิ่ม accounts เข้า google workspace เพื่อใช้งานฟังก์ชัน login ด้วย IAP ของ Google,[GCP] ขอเพิ่ม accounts เข้า google workspace เพื่อใช้งานฟังก์ชัน login ด้วย IAP ของ Google,N/A,GCP Team,TASK1626120,RITM0840450
"Catalog Task TASK1625952 has been assigned to group iNET Cloud  Support Team",Assign IAM role in project,"[GCP] ขอเพิ่มสิทธิ์ให้ user : metanonj@scg.com , niponler@scg.com","[GCP] ขอเพิ่มสิทธิ์ให้ user : metanonj@scg.com , niponler@scg.com",N/A,GCP Team,TASK1625952,RITM0836876
"Catalog Task TASK1621196 has been assigned to group iNET Cloud  Support Team","[GCP] ขอเพิ่มสิทธิ์ให้ user : metanonj@scg.com , niponler@scg.com","[GCP] ขอเพิ่มสิทธิ์ให้ user : metanonj@scg.com , niponler@scg.com","[GCP] ขอเพิ่มสิทธิ์ให้ user : metanonj@scg.com , niponler@scg.com",N/A,GCP Team,TASK1621196,RITM0836876
"Catalog Task TASK1625889 has been assigned to group iNET Cloud  Support Team",[AWS] ขอยกเลิกใช้งาน AWS Account ของ SCG-CBM-DO-HOUSENOFIVE and SCG-CBM-DO-HOUSENOFIVE-PROD,[AWS] ขอยกเลิกใช้งาน AWS Account ของ SCG-CBM-DO-HOUSENOFIVE and SCG-CBM-DO-HOUSENOFIVE-PROD,[AWS] ขอยกเลิกใช้งาน AWS Account ของ SCG-CBM-DO-HOUSENOFIVE and SCG-CBM-DO-HOUSENOFIVE-PROD,N/A,AWS Team,TASK1625889,RITM0840245
"Catalog Task TASK1622765 has been assigned to group iNET Cloud  Support Team",Firewall Request : AWS Hub,Allow firewall SYS-WMS-DevTest,Allow firewall SYS-WMS-DevTest,● IT One Services ● AWS Hub ● On-prem   File: - DXC Request form for WMS-DEVTest.xlsx State:  Assigned Click  here  to view the item Catalog Task Details: Task Number:  TASK1622765 State:  Assigned Assignment Group:  iNET Cloud Support Team Service Provider:  iNET Short Description:  Firewall Request : AWS Hub Click  here  to view the task           Ref:MSG77165437,AWS Team,TASK1622765,RITM0837912
"Catalog Task TASK1622757 has been assigned to group iNET Cloud  Support Team",Firewall Request : AWS Hub,ขอ Allow firewall ระหว่าง MongoDB (Azure) กับ N8N (AWS),ขอ Allow firewall ระหว่าง MongoDB (Azure) กับ N8N (AWS),● IT One Services ● AWS Hub ● SCGJWD Cloud ● On-prem State:  Assigned Click  here  to view the item Catalog Task Details: Task Number:  TASK1622757 State:  Assigned Assignment Group:  iNET Cloud Support Team Service Provider:  iNET Short Description:  Firewall Request : AWS Hub Click  here  to view the task           Ref:MSG77165360,AWS Team,TASK1622757,RITM0838859
"Catalog Task TASK1622360 has been assigned to group iNET Cloud  Support Team","[GCP] ขอเปิดสิทธิ์ให้ User :  siriphch@scg.com, pitchaso@scg.com, ekapodc@scg.com, maesasik@scg.com เข้าใช้งาน GCP","[GCP] ขอเปิดสิทธิ์ให้ User :  siriphch@scg.com, pitchaso@scg.com, ekapodc@scg.com, maesasik@scg.com เข้าใช้งาน GCP","[GCP] ขอเปิดสิทธิ์ให้ User :  siriphch@scg.com, pitchaso@scg.com, ekapodc@scg.com, maesasik@scg.com เข้าใช้งาน GCP",N/A,GCP Team,TASK1622360,RITM0837996
"Catalog Task TASK1622225 has been assigned to group iNET Cloud  Support Team","[GCP] ขอ Add account ให้สามารถ Login ผ่าน Google ด้วย Azure SSO Lot 2 สำหรับ CAD Beyond KM, CAD AI Synergy (Constructor)","[GCP] ขอ Add account ให้สามารถ Login ผ่าน Google ด้วย Azure SSO Lot 2 สำหรับ CAD Beyond KM, CAD AI Synergy (Constructor)","[GCP] ขอ Add account ให้สามารถ Login ผ่าน Google ด้วย Azure SSO Lot 2 สำหรับ CAD Beyond KM, CAD AI Synergy (Constructor)",N/A,AWS Team,TASK1622225,RITM0838609
"Catalog Task TASK1621852 has been assigned to group iNET Cloud  Support Team",Update CI in CMDB,[GCP]Request and Configure Shared VPC + Serverless VPC Connector for Cloud Run,[GCP]Request and Configure Shared VPC + Serverless VPC Connector for Cloud Run,N/A,GCP Team,TASK1621852,RITM0837486
"Catalog Task TASK1619826 has been assigned to group iNET Cloud  Support Team",[GCP]Request and Configure Shared VPC + Serverless VPC Connector for Cloud Run,[GCP]Request and Configure Shared VPC + Serverless VPC Connector for Cloud Run,[GCP]Request and Configure Shared VPC + Serverless VPC Connector for Cloud Run,N/A,GCP Team,TASK1619826,RITM0837486
"Catalog Task TASK1621455 has been assigned to group iNET Cloud  Support Team",[AWS]Request for EBS default encryption should be enabled (Trust Advisor 2026),[AWS]Request for EBS default encryption should be enabled (Trust Advisor 2026),[AWS]Request for EBS default encryption should be enabled (Trust Advisor 2026),N/A,AWS Team,TASK1621455,RITM0837008
"Catalog Task TASK1621626 has been assigned to group iNET Cloud  Support Team",ขอดำเนินการ Request allow SCG Firewall for Servers access SSL to DXC WSUS server (เพิ่มเติม),ขอดำเนินการ Request allow SCG Firewall for Servers access SSL to DXC WSUS server (เพิ่มเติม),ขอดำเนินการ Request allow SCG Firewall for Servers access SSL to DXC WSUS server (เพิ่มเติม),● AWS Hub ● GCP Hub ● Chemicals Cloud ● SCGJWD Cloud ● SCG Azure ● On-prem ● iNET On-prem ● SCGP Firewall   หมายเหตุ : ** หากมีการส่งอีเมลต่อในเคสนี้ รบกวนทำการนำอีเมล SUPHAKMO@SCG.COM ออกจากลูปค่ะ State:  Assigned Click  here  to view the item Catalog Task Details: Task Number:  TASK1621626 State:  Assigned Assignment Group:  iNET Cloud Support Team Service Provider:  iNET Short Description:  ขอดำเนินการ Request allow SCG Firewall for Servers access SSL to DXC WSUS server (เพิ่มเติม) Click  here  to view the task           Ref:MSG77105402,AWS Team,TASK1621626,RITM0838076
"Catalog Task TASK1621619 has been assigned to group iNET Cloud  Support Team",Firewall Request : GCP Hub,ขอดำเนินการ Request allow SCG Firewall for Servers access SSL to DXC WSUS server (เพิ่มเติม),ขอดำเนินการ Request allow SCG Firewall for Servers access SSL to DXC WSUS server (เพิ่มเติม),● AWS Hub ● GCP Hub ● Chemicals Cloud ● SCGJWD Cloud ● SCG Azure ● On-prem ● iNET On-prem ● SCGP Firewall   หมายเหตุ : ** หากมีการส่งอีเมลต่อในเคสนี้ รบกวนทำการนำอีเมล SUPHAKMO@SCG.COM ออกจากลูปค่ะ State:  Assigned Click  here  to view the item Catalog Task Details: Task Number:  TASK1621619 State:  Assigned Assignment Group:  iNET Cloud Support Team Service Provider:  iNET Short Description:  Firewall Request : GCP Hub Click  here  to view the task           Ref:MSG77105391,GCP Team,TASK1621619,RITM0838076
"Catalog Task TASK1621535 has been assigned to group iNET Cloud  Support Team",[GCP] Request New GCP Cloud Project - CORP-IA-IADG-whisper,[GCP] Request New GCP Cloud Project - CORP-IA-IADG-whisper,[GCP] Request New GCP Cloud Project - CORP-IA-IADG-whisper,N/A,GCP Team,TASK1621535,RITM0837757
"Catalog Task TASK1621211 has been assigned to group iNET Cloud  Support Team",[GCP]ขอสร้าง google account  สำหรับใช้งาน BigQuery,[GCP]ขอสร้าง google account  สำหรับใช้งาน BigQuery,[GCP]ขอสร้าง google account  สำหรับใช้งาน BigQuery,N/A,GCP Team,TASK1621211,RITM0837050
"Catalog Task TASK1619890 has been assigned to group iNET Cloud  Support Team","[GCP] ขอ restore deleted google workspace ""panpanuh@scg.com"" เพื่อกู้คืนข้อมูล drive/excel ข้อมูลงานทีม promptplus","[GCP] ขอ restore deleted google workspace ""panpanuh@scg.com"" เพื่อกู้คืนข้อมูล drive/excel ข้อมูลงานทีม promptplus","[GCP] ขอ restore deleted google workspace ""panpanuh@scg.com"" เพื่อกู้คืนข้อมูล drive/excel ข้อมูลงานทีม promptplus",N/A,GCP Team,TASK1619890,RITM0837516
"Catalog Task TASK1621142 has been assigned to group iNET Cloud  Support Team","ขอ Allow Firewall เพื่อเชื่อมต่อ API จาก TLS server to LAB COA (DEV,PRD) , get file from blob storage DEV,PRD","ขอ Allow Firewall เพื่อเชื่อมต่อ API จาก TLS server to LAB COA (DEV,PRD) , get file from blob storage DEV,PRD","ขอ Allow Firewall เพื่อเชื่อมต่อ API จาก TLS server to LAB COA (DEV,PRD) , get file from blob storage DEV,PRD","● AWS Hub ● Chemicals Cloud ● On-prem ● iNET On-prem ● SCG Azure   Common : TCP 443 State:  Assigned Click  here  to view the item Catalog Task Details: Task Number:  TASK1621142 State:  Assigned Assignment Group:  iNET Cloud Support Team Service Provider:  iNET Short Description:  ขอ Allow Firewall เพื่อเชื่อมต่อ API จาก TLS server to LAB COA (DEV,PRD) , get file from blob storage DEV,PRD Click  here  to view the task           Ref:MSG77083272",AWS Team,TASK1621142,RITM0836583
"Catalog Task TASK1620511 has been assigned to group iNET Cloud  Support Team",[GCP] ขอเพิ่ม account เข้า google workspace เพื่อใช้งานฟังก์ชัน login ด้วย IAP ของ Google,[GCP] ขอเพิ่ม account เข้า google workspace เพื่อใช้งานฟังก์ชัน login ด้วย IAP ของ Google,[GCP] ขอเพิ่ม account เข้า google workspace เพื่อใช้งานฟังก์ชัน login ด้วย IAP ของ Google,N/A,GCP Team,TASK1620511,RITM0837828
"Catalog Task TASK1620266 has been assigned to group iNET Cloud  Support Team",ขอ Allow Firewall เพื่อเชื่อมต่อระหว่าง SCGC Azure Databricks และ LSP AWS Redshift Database,ขอ Allow Firewall เพื่อเชื่อมต่อระหว่าง SCGC Azure Databricks และ LSP AWS Redshift Database,ขอ Allow Firewall เพื่อเชื่อมต่อระหว่าง SCGC Azure Databricks และ LSP AWS Redshift Database,● AWS Hub ● Chemicals Cloud ● On-prem   แจ้งงานโดย K.Kanit Surarakool   รายละเอียด DXC Request form for Firewall v3.7-Databricks-LSP Redshift.xlsx State:  Assigned Click  here  to view the item Catalog Task Details: Task Number:  TASK1620266 State:  Assigned Assignment Group:  iNET Cloud Support Team Service Provider:  iNET Short Description:  ขอ Allow Firewall เพื่อเชื่อมต่อระหว่าง SCGC Azure Databricks และ LSP AWS Redshift Database  Click  here  to view the task           Ref:MSG77034339,AWS Team,TASK1620266,RITM0837189
"Catalog Task TASK1619918 has been assigned to group iNET Cloud  Support Team",รบกวน INET ช่วยเช็ค configuration ของ aws alb target group port forward ตามด้านล่าง ว่าตอนนี้มีการ configure ไว้อย่างไรครับ,รบกวน INET ช่วยเช็ค configuration ของ aws alb target group port forward ตามด้านล่าง ว่าตอนนี้มีการ configure ไว้อย่างไรครับ,รบกวน INET ช่วยเช็ค configuration ของ aws alb target group port forward ตามด้านล่าง ว่าตอนนี้มีการ configure ไว้อย่างไรครับ,N/A,AWS Team,TASK1619918,RITM0837590
"Catalog Task TASK1619898 has been assigned to group iNET Cloud  Support Team",Create Cloud CMDB,[AWS] ขอใช้บริการ AWS Cloud สำหรับโครงการ Smart Workforce-1SB,[AWS] ขอใช้บริการ AWS Cloud สำหรับโครงการ Smart Workforce-1SB,N/A,AWS Team,TASK1619898,RITM0815889
"Catalog Task TASK1619873 has been assigned to group iNET Cloud  Support Team",ขอ Allow firewall cbmr spoke01 เพื่อให้ KH gw src.10.42.10.5  connect to dst.10.42.133.38 (caspian server) tcp.1433,ขอ Allow firewall cbmr spoke01 เพื่อให้ KH gw src.10.42.10.5  connect to dst.10.42.133.38 (caspian server) tcp.1433,ขอ Allow firewall cbmr spoke01 เพื่อให้ KH gw src.10.42.10.5  connect to dst.10.42.133.38 (caspian server) tcp.1433,● GCP Hub,GCP Team,TASK1619873,RITM0834233
"Catalog Task TASK1619337 has been assigned to group iNET Cloud  Support Team",Request For allowing Acunetix servers to scan the web application,Request For allowing Acunetix servers to scan the web application,Request For allowing Acunetix servers to scan the web application,● AWS Hub ● Chemicals Cloud ● On-prem   Form : DXC Request form for Firewall v3.7 Chem API Authen 20260210 r1.0.xlsx State:  Awaiting Approval Click  here  to view the item Catalog Task Details: Task Number:  TASK1619337 State:  Assigned Assignment Group:  iNET Cloud Support Team Service Provider:  iNET Short Description:  Request For allowing Acunetix servers to scan the web application Click  here  to view the task           Ref:MSG76985325,AWS Team,TASK1619337,RITM0836780
"Catalog Task TASK1619017 has been assigned to group iNET Cloud  Support Team",[AWS] ขอดำเนินการ AWS account Security เกี่ยวกับเรื่อง EBS default encryption should be enabled เป็นหัวข้อที่เกี่ยวข้องกับ Trust Advisor (Medium),[AWS] ขอดำเนินการ AWS account Security เกี่ยวกับเรื่อง EBS default encryption should be enabled เป็นหัวข้อที่เกี่ยวข้องกับ Trust Advisor (Medium),[AWS] ขอดำเนินการ AWS account Security เกี่ยวกับเรื่อง EBS default encryption should be enabled เป็นหัวข้อที่เกี่ยวข้องกับ Trust Advisor (Medium),N/A,AWS Team,TASK1619017,RITM0837065
"Incident task ITASK0716511 has been assigned to group iNET Cloud  Support Team",N/A,N/A,SCG | Security | CTU087 Potential React Server Component Exploit React2Shell Detected,N/A,AWS Team,ITASK0716511,ITASK0716511
"Catalog Task TASK1618899 has been assigned to group iNET Cloud  Support Team",[AWS] Request to Terminate Unused AWS WAF Web ACLs,[AWS] Request to Terminate Unused AWS WAF Web ACLs,[AWS] Request to Terminate Unused AWS WAF Web ACLs,N/A,AWS Team,TASK1618899,RITM0835988
"Catalog Task TASK1618150 has been assigned to group iNET Cloud  Support Team",[AWS]-Verify AWS CloudTrail service (AOP2026),[AWS]-Verify AWS CloudTrail service (AOP2026),[AWS]-Verify AWS CloudTrail service (AOP2026),N/A,AWS Team,TASK1618150,RITM0836669
"Catalog Task TASK1618775 has been assigned to group iNET Cloud  Support Team",Create Cloud CMDB,"[AWS] ขอเปิด AWS Account Project เพื่อใช้สำหรับ สร้าง infra ของระบบ เช่น web server, database","[AWS] ขอเปิด AWS Account Project เพื่อใช้สำหรับ สร้าง infra ของระบบ เช่น web server, database",N/A,AWS Team,TASK1618775,RITM0776069
"Catalog Task TASK1618712 has been assigned to group iNET Cloud  Support Team",Create Cloud CMDB,"[AWS] Request New AWS Cloud Project ""CPAC Coporate Website""","[AWS] Request New AWS Cloud Project ""CPAC Coporate Website""",N/A,AWS Team,TASK1618712,RITM0763379
"Catalog Task TASK1618690 has been assigned to group iNET Cloud  Support Team",Update CI in CMDB,[AWS] ขอ Disable และ Terminate AWS Account จำนวน 64 users,[AWS] ขอ Disable และ Terminate AWS Account จำนวน 64 users,N/A,AWS Team,TASK1618690,RITM0763014
